# age, players, name, type, cost, free with, chained buildings, ...
1, 3, lumber yard, brown, -, -, -, W
1, 3, ore vein, brown, -, -, -, O
1, 3, clay pool, brown, -, -, -, B
1, 3, stone pit, brown, -, -, -, S
1, 3, timer yard, brown, $, -, -, S/W
1, 3, clay pit, brown, $, -, -, B/O
1, 3, loom, grey, -, -, -, L
1, 3, glassworks, grey, -, -, -, G
1, 3, press, grey, -, -, -, P
1, 3, east trading post, yellow, -, -, forum, trade-${WOBS} >
1, 3, west trading post, yellow, -, -, forum, trade-${WOBS} <
1, 3, marketplace, yellow, -, -, caravansery, trade-${GLP} <>
1, 3, altar, blue, -, -, temple, 2
1, 3, theatre, blue, -, -, statue, 2
1, 3, baths, blue, S, -, aqueduct, 3
1, 3, stockade, red, W, -, -, 1
1, 3, barracks, red, O, -, -, 1
1, 3, guard tower, red, B, -, -, 1
1, 3, apothecary, green, L, -, stables | dispensary, C
1, 3, workshop, green, G, -, archery range | laboratory, G
1, 3, scriptorium, green, P, -, courthouse | library, T
1, 4, lumber yard, brown, -, -, -, W
1, 4, ore vein, brown, -, -, -, O
1, 4, excavation, brown, $, -, -, S/B
1, 4, tavern, yellow, -, -, -, $$$$$
1, 4, pawnshop, blue, -, -, aqueduct, 3
1, 4, guard tower, red, B, -, -, 1
1, 4, scriptorium, green, P, -, courthouse | library, T
1, 5, clay pool, brown, -, -, -, B
1, 5, stone pit, brown, -, -, -, S
1, 5, forest cave, brown, -, -, -, W/O
1, 5, tavern, yellow, -, -, -, $$$$$
1, 5, altar, blue, -, -, temple, 2
1, 5, barracks, red, O, -, -, 1
1, 5, apothecary, green, L, -, stables | dispensary, C
1, 6, tree farm, brown, -, -, -, W/B
1, 6, mine, brown, -, -, -, S/O
1, 6, loom, grey, -, -, -, L
1, 6, glassworks, grey, -, -, -, G
1, 6, press, grey, -, -, -, P
1, 6, marketplace, yellow, -, -, caravansery, trade-${GLP} <>
1, 6, theatre, blue, -, -, statue, 2
1, 7, east trading post, yellow, -, -, forum, trade-${WOBS} >
1, 7, west trading post, yellow, -, -, forum, trade-${WOBS} <
1, 7, marketplace, yellow, -, -, caravansery, trade-${GLP} <>
1, 7, tavern, yellow, -, -, -, $$$$$
1, 7, baths, blue, S, -, aqueduct, 3
1, 7, pawnshop, blue, -, -, aqueduct, 3
1, 7, stockade, red, W, -, -, 1

2, 3, sawmill, brown, $, -, -, WW
2, 3, foundry, brown, $, -, -, OO
2, 3, brickyard, brown, $, -, -, BB
2, 3, quarry, brown, $, -, -, SS
2, 3, loom, grey, -, -, -, L
2, 3, glassworks, grey, -, -, -, G
2, 3, press, grey, -, -, -, P
2, 3, caravansery, yellow, WW, marketplace, lighthouse, +resource{W/S/O/B}
2, 3, forum, yellow, BB, east trading post | west trading post, haven, +resource{G/L/P}
2, 3, vineyard, yellow, -, -, -, ${brown} <v>
2, 3, temple, blue, WBG, altar, pantheon, 3
2, 3, courthouse, blue, BBL, scriptorium, -, 4
2, 3, statue, blue, OOW, theatre, gardens, 4
2, 3, aqueduct, blue, SSS, baths, -, 5
2, 3, stables, red, BWO, apothecary, -, 2
2, 3, archery range, red, WWO, workshop, -, 2
2, 3, walls, red, SSS, -, fortifications, 2
